,word,pinyin,definition
258,奶奶,nǎi nǎi,(informal) grandma (paternal grandmother)/(respectful) mistress of the house/CL:位[wei4]/(coll.) boobies/breasts
260,南边,nán biān,south/south side/southern part/to the south of
265,男人,nán rén,a man/a male/men/CL:個|个[ge4]
266,男生,nán shēng,schoolboy/male student/boy/guy (young adult male)
268,哪些,něi xiē,which ones?/who?/what?
271,你们,nǐ men,you (plural)
274,牛奶,niú nǎi,"cow's milk/CL:瓶[ping2],杯[bei1]"
275,女儿,nǚ ér,daughter
279,女人,nǚ rén,wife
280,女生,nǚ shēng,schoolgirl/female student/girl
281,旁边,páng biān,side; adjacent place
283,朋友,péng yǒu,"friend/CL:個|个[ge4],位[wei4]"
286,汽车,qì chē,car/automobile/bus/CL:輛|辆[liang4]
287,起床,qǐ chuáng,to get out of bed; to get up
288,起来,qǐ lái,"(after a verb) indicating the beginning and continuation of an action or a state/indicating an upward movement (e.g. after 站[zhan4])/indicating completion/(after a perception verb, e.g. 看[kan4]) expressing preliminary judgment/also pr. [qi3 lai5]"
291,钱包,qián bāo,purse/wallet
293,前边,qián biān,front/the front side/in front of
294,前天,qián tiān,the day before yesterday
296,请假,qǐng jià,to request leave of absence
297,请进,qǐng jìn,"""please come in"""
298,请问,qǐng wèn,"Excuse me, may I ask...?"
299,请坐,qǐng zuò,"please, have a seat"
302,去年,qù nián,last year
305,认识,rèn shí,to know/to recognize/to be familiar with/to get acquainted with sb/knowledge/understanding/awareness/cognition
306,认真,rèn zhēn,conscientious/earnest/serious/to take seriously/to take to heart
308,日期,rì qī,date/CL:個|个[ge4]
312,上班,shàng bān,to go to work/to be on duty/to start work/to go to the office
313,上边,shàng biān,the top/above/overhead/upwards/the top margin/above-mentioned/those higher up
314,商场,shāng chǎng,shopping mall/shopping center/department store/emporium/CL:家[jia1]/the business world
315,上车,shàng chē,"to get on or into (a bus, train, car etc)"
316,上次,shàng cì,last time
317,商店,shāng diàn,"store; shop/CL:家[jia1],個|个[ge4]"
318,上课,shàng kè,to go to class/to attend class/to go to teach a class
320,上网,shàng wǎng,"to go online/to connect to the Internet/(of a document etc) to be uploaded to the Internet/(tennis, volleyball etc) to move in close to the net"
321,上午,shàng wǔ,morning/CL:個|个[ge4]
322,上学,shàng xué,to go to school/to attend school
324,什么,shén me,what?/something/anything
325,身上,shēn shàng,on the body/at hand/among
326,身体,shēn tǐ,the body/one's health
327,生病,shēng bìng,to fall ill
328,生气,shēng qì,to get angry/to take offense/angry/vitality/liveliness
329,生日,shēng rì,birthday/CL:個|个[ge4]
333,时候,shí hòu,time/length of time/moment/period
334,时间,shí jiān,(concept of) time/(duration of) time/(point in) time
338,手机,shǒu jī,"cell phone/mobile phone/CL:部[bu4],支[zhi1]"
341,书包,shū bāo,"schoolbag/satchel/bookbag/CL:個|个[ge4],隻|只[zhi1]"
342,书店,shū diàn,bookstore/CL:家[jia1]
345,水果,shuǐ guǒ,fruit/CL:個|个[ge4]
346,睡觉,shuì jiào,to go to bed/to sleep
348,说话,shuō huà,to speak/to say/to talk/to gossip/to tell stories/talk/word
354,他们,tā men,they; them
355,她们,tā men,they; them (females)
359,天气,tiān qì,weather
360,听见,tīng jiàn,to hear
362,听到,tīng dào,to hear
363,听写,tīng xiě,(of a pupil) to write down (in a dictation exercise)/dictation/(music) to transcribe by ear
364,同学,tóng xué,"to study at the same school/fellow student/classmate/CL:位[wei4],個|个[ge4]"
367,外边,wài biān,outside/outer surface/abroad/place other than one's home
368,外国,wài guó,foreign (country)/CL:個|个[ge4]
369,外语,wài yǔ,foreign language/CL:門|门[men2]
371,玩儿,wán ér,to play/to have fun/to hang out
372,晚饭,wǎn fàn,"evening meal/dinner/supper/CL:份[fen4],頓|顿[dun4],次[ci4],餐[can1]"
373,晚上,wǎn shàng,evening/night/CL:個|个[ge4]/in the evening
374,网上,wǎng shàng,online
376,忘记,wàng jì,to forget
377,网友,wǎng yǒu,online friend/Internet user
380,我们,wǒ men,we; us; ourselves; our
382,午饭,wǔ fàn,"lunch/CL:份[fen4],頓|顿[dun4],次[ci4],餐[can1]"
384,西边,xī biān,west/west side/western part/to the west of
386,喜欢,xǐ huān,to like; to be fond of
389,下班,xià bān,to finish work/to get off work
390,下边,xià biān,under/the underside/below
391,下车,xià chē,"to get off or out of (a bus, train, car etc)"
392,下次,xià cì,next time
393,下课,xià kè,to finish class/to get out of class/(fig.) (esp. of a sports coach) to be dismissed/to be fired
394,下午,xià wǔ,afternoon/CL:個|个[ge4]/p.m.
395,下雨,xià yǔ,to rain
397,先生,xiān shēng,teacher/gentleman; sir; mister (Mr.)/husband/(dialect) doctor/CL:位[wei4]
398,现在,xiàn zài,now/at present/at the moment/modern/current/nowadays
403,小姐,xiǎo jiě,"young lady/miss/(slang) prostitute/CL:個|个[ge4],位[wei4]"
405,小时,xiǎo shí,hour/CL:個|个[ge4]
406,小学,xiǎo xué,elementary school; primary school
408,谢谢,xiè xiè,to thank/thanks/thank you
411,新年,xīn nián,New Year/CL:個|个[ge4]
413,星期,xīng qī,week/CL:個|个[ge4]/day of the week/Sunday
416,休息,xiū xī,rest/to rest
418,学生,xué shēng,student/schoolchild
419,学习,xué xí,to learn/to study
420,学校,xué xiào,school/CL:所[suo3]
421,学院,xué yuàn,college/educational institute/school/faculty/CL:所[suo3]
424,爷爷,yé yé,(coll.) father's father/paternal grandfather/CL:個|个[ge4]
426,一半,yí bàn,half
428,衣服,yī fú,"clothes/CL:件[jian4],套[tao4]"
430,一起,yì qǐ,in the same place/together/with/altogether (in total)
431,一些,yī xiē,some/a few/a little/(following an adjective) slightly ...er
432,医生,yī shēng,"doctor/CL:個|个[ge4],位[wei4],名[ming2]"
434,一边,yī biān,one side/either side/on the one hand/on the other hand/doing while
437,一样,yī yàng,same/like/equal to/the same as/just like
438,医院,yī yuàn,"hospital/CL:所[suo3],家[jia1],座[zuo4]"
441,右边,yòu biān,"right side/right, to the right"
442,有的,yǒu de,(there are) some (who are...)/some (exist)
443,有名,yǒu míng,famous/well-known
445,有些,yǒu xiē,some/somewhat
446,有用,yǒu yòng,useful
454,在家,zài jiā,to be at home/(at a workplace) to be in (as opposed to being away on official business 出差[chu1 chai1])/(Buddhism etc) to remain a layman (as opposed to becoming a monk or a nun 出家[chu1 jia1])
455,再见,zài jiàn,goodbye/see you again later
457,早饭,zǎo fàn,"breakfast/CL:份[fen4],頓|顿[dun4],次[ci4],餐[can1]"
458,早上,zǎo shàng,early morning/CL:個|个[ge4]
459,怎么,zěn me,variant of 怎麼|怎么[zen3 me5]
462,找到,zhǎo dào,to find
463,这边,zhè biān,this side/here
464,这儿,zhè ér,here
465,这里,zhè lǐ,here
466,这些,zhè xiē,these
470,真的,zhēn de,really; truly; indeed/real; true; genuine/(math.) proper
471,正在,zhèng zài,just at (that time)/right in (that place)/right in the middle of (doing sth)
473,知道,zhī dào,to know; to become aware of/also pr. [zhi1 dao5]
474,知识,zhī shí,knowledge/CL:門|门[men2]/intellectual
476,中国,zhōng guó,China
477,重要,zhòng yào,important/significant/major
479,中间,zhōng jiān,the middle; the inside/in the middle; within; between; among/during; in the meantime
480,中文,zhōng wén,Chinese language
481,中午,zhōng wǔ,noon/midday/CL:個|个[ge4]
482,中学,zhōng xué,middle school/CL:個|个[ge4]
485,准备,zhǔn bèi,preparation/to prepare/to intend/to be about to/reserve (fund)
486,桌子,zhuō zi,"table/desk/CL:張|张[zhang1],套[tao4]"
490,走路,zǒu lù,to walk/to go on foot
492,最好,zuì hǎo,best/(you) had better (do what we suggest)
493,最后,zuì hòu,final/last/finally/ultimate
497,左边,zuǒ biān,left/the left side/to the left of
498,昨天,zuó tiān,yesterday
499,坐下,zuò xià,to sit down
501,爱情,ài qíng,romance; love (romantic)/CL:份[fen4]
502,爱人,ài rén,spouse (PRC)/lover (non-PRC)/CL:個|个[ge4]
503,安静,ān jìng,quiet/peaceful/calm
504,安全,ān quán,safe; secure/safety; security
505,白色,bái sè,white/fig. reactionary/anti-communist
507,办法,bàn fǎ,"means/method/way (of doing sth)/CL:條|条[tiao2],個|个[ge4]"
509,半夜,bàn yè,midnight/in the middle of the night
510,班长,bān zhǎng,class monitor/squad leader/team leader/CL:個|个[ge4]
511,帮助,bāng zhù,assistance; aid/to help; to assist
513,报名,bào míng,to sign up/to enter one's name/to apply/to register/to enroll/to enlist
514,报纸,bào zhǐ,"newspaper/newsprint/CL:份[fen4],期[qi1],張|张[zhang1]"
516,北方,běi fāng,north/the northern part a country/China north of the Yellow River
518,比如,bǐ rú,for example/for instance/such as
520,笔记,bǐ jì,to take down (in writing)/notes/a type of literature consisting mainly of short sketches/CL:本[ben3]
522,必须,bì xū,to have to/must/compulsory/necessarily
526,变成,biàn chéng,to change into/to turn into/to become
528,表示,biǎo shì,(of sb) to express; to state; to show/(of sth) to indicate; to signify; to show/expression; manifestation
529,不错,bù cuò,correct/right/not bad/pretty good
530,不但,bù dàn,not only (... but also ...)
531,部分,bù fèn,part/share/section/piece/CL:個|个[ge4]
532,不太,bù tài,not very
533,不够,bù gòu,not enough/insufficient/inadequate
534,不过,bù guò,only/merely/no more than/but/however/anyway (to get back to a previous topic)/cannot be more (after adjectival)
536,不久,bù jiǔ,not long (after)/before too long/soon/soon after
537,不满,bù mǎn,resentful/discontented/dissatisfied
538,不如,bù rú,not equal to/not as good as/inferior to/it would be better to
539,不少,bù shǎo,many/a lot/not few
540,不同,bù tóng,different/distinct/not the same/not alike
541,不行,bù xíng,won't do/be out of the question/be no good/not work/not be capable
542,不要,bú yào,don't!/must not
545,菜单,cài dān,"menu/CL:份[fen4],張|张[zhang1]"
547,参观,cān guān,to look around/to tour/to visit
548,参加,cān jiā,to participate/to take part/to join
549,草地,cǎo dì,lawn/meadow/sod/turf/CL:片[pian4]
555,常见,cháng jiàn,commonly seen/common/to see sth frequently
556,常用,cháng yòng,in common usage
557,超过,chāo guò,to surpass/to exceed/to outstrip
558,超市,chāo shì,supermarket (abbr. for 超級市場|超级市场[chao1 ji2 shi4 chang3])/CL:家[jia1]
559,车辆,chē liàng,vehicle
562,成绩,chéng jì,"achievement/performance records/grades/CL:項|项[xiang4],個|个[ge4]"
563,成为,chéng wéi,to become; to turn into
564,重复,chóng fù,variant of 重複|重复[chong2 fu4]
565,重新,chóng xīn,again; once more; re-
566,出发,chū fā,to set off/to start (on a journey)
567,出国,chū guó,to go abroad; to leave the country
568,出口,chū kǒu,an exit/CL:個|个[ge4]/to speak/to export/(of a ship) to leave port
569,出门,chū mén,to go out/to leave home/to go on a journey/away from home/(of a woman) to get married
570,出生,chū shēng,to be born
571,出现,chū xiàn,to appear/to arise/to emerge/to show up
572,出院,chū yuàn,to leave hospital/to be discharged from hospital
573,出租,chū zū,to rent
577,春天,chūn tiān,spring (season)/CL:個|个[ge4]
578,春节,chūn jié,Spring Festival (Chinese New Year)
580,词典,cí diǎn,"dictionary/also written 辭典|辞典[ci2 dian3]/CL:部[bu4],本[ben3]"
581,词语,cí yǔ,word (general term including monosyllables through to short phrases)/term (e.g. technical term)/expression
582,从小,cóng xiǎo,from childhood; from a young age
584,大大,dà dà,greatly/enormously/(dialect) dad/uncle
586,打工,dǎ gōng,"to work a temporary or casual job/(of students) to have a job outside of class time, or during vacation"
587,大海,dà hǎi,sea/ocean
588,大家,dà jiā,everyone/influential family/great expert
589,大量,dà liàng,great amount/large quantity/bulk/numerous/generous/magnanimous
590,大门,dà mén,entrance/door/gate/large and influential family
591,大人,dà rén,adult/grownup/title of respect toward superiors
592,大声,dà shēng,loud voice/in a loud voice/loudly
593,打算,dǎ suàn,to plan/to intend/to calculate/plan/intention/calculation/CL:個|个[ge4]
594,大小,dà xiǎo,large and small/size/adults and children/consideration of seniority/at any rate
595,大衣,dà yī,overcoat/topcoat/cloak/CL:件[jian4]
596,打印,dǎ yìn,to affix a seal/to stamp/to print out (with a printer)
597,答应,dā yìng,to answer; to respond/to answer positively; to agree; to accept; to promise
600,带来,dài lái,to bring/(fig.) to bring about; to produce
603,但是,dàn shì,but; however
604,单位,dān wèi,"unit (of measure)/unit (group of people as a whole)/work unit (place of employment, esp. in the PRC prior to economic reform)/CL:個|个[ge4]"
606,当时,dāng shí,at once/right away
607,到处,dào chù,everywhere
611,道理,dào lǐ,reason/argument/sense/principle/basis/justification/CL:個|个[ge4]
612,道路,dào lù,road/path/way/CL:條|条[tiao2]
615,得出,dé chū,to obtain (a result); to arrive at (a conclusion)
616,的话,de huà,if (coming after a conditional clause)
618,等到,děng dào,to wait until/by the time when (sth is ready etc)
620,等于,děng yú,to equal/to be tantamount to
622,地球,dì qiú,the earth/CL:個|个[ge4]
623,地铁,dì tiě,underground railway; subway/subway train
626,点头,diǎn tóu,to nod
629,东北,dōng běi,northeast
630,懂得,dǒng de,to understand; to know; to comprehend
631,东方,dōng fāng,east
632,东南,dōng nán,southeast
633,冬天,dōng tiān,winter/CL:個|个[ge4]
634,动物,dòng wù,"animal/CL:隻|只[zhi1],群[qun2],個|个[ge4]"
637,读音,dú yīn,pronunciation/literary (rather than colloquial) pronunciation of a Chinese character
640,短信,duǎn xìn,text message/SMS
643,对话,duì huà,to talk (with sb)/dialogue; conversation
644,对面,duì miàn,(sitting) opposite/across (the street)/directly in front/to be face to face
645,队长,duì zhǎng,captain/team leader/CL:個|个[ge4]
647,多久,duō jiǔ,(of time) how long?/(not) a long time
648,多么,duō me,how (wonderful etc)/what (a great idea etc)/however (difficult it may be etc)/(in interrogative sentences) how (much etc)/to what extent
649,多数,duō shù,majority; most
650,多云,duō yún,cloudy (meteorology)
651,而且,ér qiě,(not only ...) but also/moreover/in addition/furthermore
653,发现,fā xiàn,to notice; to become aware of/to discover; to find; to detect/a discovery
654,饭馆,fàn guǎn,restaurant/CL:家[jia1]
655,方便,fāng biàn,convenient/suitable/to facilitate/to make things easy/having money to spare/(euphemism) to relieve oneself
657,方法,fāng fǎ,method; way; means/CL:個|个[ge4]
658,方面,fāng miàn,respect/aspect/field/side/CL:個|个[ge4]
659,方向,fāng xiàng,direction; orientation/CL:個|个[ge4]
660,放下,fàng xià,to lay down/to put down/to let go of/to relinquish/to set aside/to lower (the blinds etc)
661,放心,fàng xīn,to feel relieved/to feel reassured/to be at ease
664,分钟,fēn zhōng,minute
665,分开,fēn kāi,to separate/to part
666,分数,fēn shù,(exam) grade/mark/score/fraction
668,服务,fú wù,to serve/service/CL:項|项[xiang4]
669,复习,fù xí,variant of 復習|复习[fu4 xi2]
672,改变,gǎi biàn,to change/to alter/to transform
673,干杯,gān bēi,to drink a toast/Cheers! (proposing a toast)/Here's to you!/Bottoms up!/lit. dry cup
674,感到,gǎn dào,to feel; to sense; to perceive
675,感动,gǎn dòng,to move (sb)/to touch (sb emotionally)/moving
676,感谢,gǎn xiè,(express) thanks/gratitude/grateful/thankful/thanks
678,感觉,gǎn jué,feeling; impression; sensation/to feel; to perceive
680,刚才,gāng cái,just now (variant of 剛才|刚才[gang1 cai2])
681,刚刚,gāng gāng,just recently/just a moment ago
682,高级,gāo jí,high level/high grade/advanced/high-ranking
683,高中,gāo zhōng,to pass brilliantly (used in congratulatory fashion)
684,个子,gè zi,height/stature/build/size
688,公斤,gōng jīn,kilogram (kg)
689,公里,gōng lǐ,kilometer
690,公路,gōng lù,highway/road/CL:條|条[tiao2]
691,公平,gōng píng,fair/impartial
692,公司,gōng sī,company; firm; corporation/CL:家[jia1]
693,公园,gōng yuán,"park (for public recreation)/CL:個|个[ge4],座[zuo4]"
696,顾客,gù kè,customer; client/CL:位[wei4]
697,故事,gù shì,narrative; story; tale
698,故意,gù yì,deliberately; on purpose
699,观点,guān diǎn,point of view/viewpoint/standpoint/CL:個|个[ge4]
700,关机,guān jī,to turn off (a machine or device)/to finish shooting a film
701,关心,guān xīn,to be concerned about; to care about
702,广场,guǎng chǎng,public square; plaza
703,广告,guǎng gào,to advertise/a commercial/advertisement/CL:項|项[xiang4]
705,国际,guó jì,international
706,过来,guò lái,see 過來|过来[guo4 lai2]
707,过年,guò nián,to celebrate the Chinese New Year
708,过去,guò qù,(verb suffix)
710,海边,hǎi biān,coast/seaside/seashore/beach
712,好处,hǎo chù,benefit; advantage; merit/gain; profit/also pr. [hao3 chu4]
713,好多,hǎo duō,many/quite a lot/much better
715,好久,hǎo jiǔ,quite a while
716,好人,hǎo rén,"good person/healthy person/person who tries not to offend anyone, even at the expense of principle"
717,好事,hǎo shì,to be meddlesome
718,好像,hǎo xiàng,as if/to seem like
720,合适,hé shì,suitable/fitting/appropriate
722,黑板,hēi bǎn,"blackboard/CL:塊|块[kuai4],個|个[ge4]"
723,黑色,hēi sè,black
725,红色,hóng sè,red (color)/revolutionary
726,后来,hòu lái,afterwards; later/newly arrived
728,忽然,hū rán,suddenly; all of a sudden
729,护照,hù zhào,"passport/CL:本[ben3],個|个[ge4]"
732,画儿,huà ér,picture/drawing/painting
733,画家,huà jiā,painter/CL:個|个[ge4]
734,花园,huā yuán,"garden/CL:座[zuo4],個|个[ge4]"
735,坏处,huài chù,harm/troubles/CL:個|个[ge4]
736,坏人,huài rén,bad person/villain
738,欢迎,huān yíng,to welcome/welcome
740,黄色,huáng sè,yellow/vulgar; lewd; pornographic
742,回国,huí guó,to return to one's home country
744,活动,huó dòng,"to exercise/to move about/to operate/to use connections (personal influence)/loose/shaky/active/movable/activity/campaign/maneuver/behavior/CL:項|项[xiang4],個|个[ge4]"
746,或者,huò zhě,or/possibly; maybe; perhaps
750,计划,jì huà,"plan/project/program/to plan/to map out/CL:個|个[ge4],項|项[xiang4]"
751,机会,jī huì,opportunity/chance/occasion/CL:個|个[ge4]
756,假期,jià qī,vacation
757,家庭,jiā tíng,"family/household/CL:戶|户[hu4],個|个[ge4]"
758,加油,jiā yóu,to add oil/to top up with gas/to refuel/to accelerate/to step on the gas/(fig.) to make an extra effort/to cheer sb on
759,家长,jiā zhǎng,head of a household/family head/patriarch/parent or guardian of a child
760,检查,jiǎn chá,inspection/to examine/to inspect/CL:次[ci4]
761,见到,jiàn dào,to see
762,健康,jiàn kāng,health/healthy
764,见过,jiàn guò,have seen
766,讲话,jiǎng huà,a speech/to speak/to talk/to address/CL:個|个[ge4]
768,角度,jiǎo dù,angle/point of view
769,交给,jiāo gěi,to give; to deliver; to hand over
770,教室,jiào shì,classroom/CL:間|间[jian1]
771,教师,jiào shī,teacher/CL:個|个[ge4]
772,教学,jiào xué,teaching; instruction/CL:次[ci4]
773,教育,jiào yù,to educate/to teach/education
777,交通,jiāo tōng,to be connected/traffic/transportation/communications/liaison
778,饺子,jiǎo zi,"dumpling/pot-sticker/CL:個|个[ge4],隻|只[zhi1]"
779,叫作,jiào zuò,to call/to be called
782,结果,jié guǒ,outcome/result/conclusion/in the end/as a result/to kill/to dispatch
784,节目,jié mù,"program/item (on a program)/CL:臺|台[tai2],個|个[ge4],套[tao4]"
785,节日,jié rì,holiday/festival/CL:個|个[ge4]
787,接到,jiē dào,to receive (letter etc)
788,接受,jiē shòu,"to accept (a suggestion, punishment, bribe etc); to acquiesce"
790,接着,jiē zhe,to catch and hold on/to continue/to go on to do sth/to follow/to carry on/then/after that/subsequently/to proceed/to ensue/in turn/in one's turn
793,今后,jīn hòu,hereafter/henceforth/in the future/from now on
794,进入,jìn rù,to enter/to join/to go into
795,进行,jìn xíng,to advance/to conduct/underway/in progress/to do/to carry out/to carry on/to execute
796,经过,jīng guò,to pass/to go through/process/course/CL:個|个[ge4]
797,经常,jīng cháng,frequently; constantly; regularly; often/day-to-day; everyday; daily
798,经理,jīng lǐ,"manager/director/CL:個|个[ge4],位[wei4],名[ming2]"
800,酒店,jiǔ diàn,wine shop/pub (public house)/hotel/restaurant/(Tw) hostess club
801,就要,jiù yào,will/shall/to be going to
804,举手,jǔ shǒu,to raise a hand/to put up one's hand (as signal)
805,举行,jǔ xíng,"to hold (a meeting, ceremony etc)"
806,句子,jù zi,sentence/CL:個|个[ge4]
808,开机,kāi jī,to start an engine/to boot up (a computer)/to press Ctrl-Alt-Delete/to begin shooting a film or TV show
